取引日,出金金額（円）,入金金額（円）,海外出金金額,通貨,変換レート（円）,利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2025/01/15 07:49:43,-,76,-,-,-,日本,ポイント、残高の獲得,ドン・キホーテ - 大通り店,PayPayポイント,-,本人,05012200000027
2025/01/15 07:49:43,"5,084",-,-,-,-,日本,支払い,ドン・キホーテ - 大通り店,PayPay残高,-,本人,05012200000027
2025/01/15 08:36:49,-,"10,000",-,-,-,日本,チャージ,PayPay,PayPay残高,-,本人,05012200000007
2025/01/15 19:33:47,"4,196",-,-,-,-,日本,支払い,ガス料金 請求書払い,PayPay残高,-,本人,05012200000005
2025/01/18 07:17:44,"4,378",-,-,-,-,日本,支払い,ソフトバンク 携帯料金,クレジット Mastercard 0000,ー回払い,本人,05012200000001
2025/01/19 17:32:48,-,4,-,-,-,日本,ポイント、残高の獲得,業務スーパー 中央二丁目店,PayPayポイント,-,本人,05012200000028
2025/01/19 17:32:48,881,-,-,-,-,日本,支払い,業務スーパー 中央二丁目店,PayPay残高,-,本人,05012200000028
2025/01/20 09:32:29,-,10,-,-,-,日本,ポイント、残高の獲得,ローソン - 駅前店,PayPayポイント,-,本人,05012200000029
2025/01/20 09:32:29,"1,019",-,-,-,-,日本,支払い,ローソン - 駅前店,PayPayあと払い,-,本人,05012200000029
2025/01/21 07:05:21,-,25,-,-,-,日本,ポイント、残高の獲得,ウエルシア薬局 中央店,PayPayポイント,-,本人,05012200000032
2025/01/21 07:05:21,"1,723",-,-,-,-,日本,支払い,ウエルシア薬局 中央店,クレジット Mastercard 0000,ー回払い,本人,05012200000032
2025/01/21 09:21:33,-,68,-,-,-,日本,ポイント、残高の獲得,ドン・キホーテ - 大通り店,PayPayポイント,-,本人,05012200000030
2025/01/21 09:21:33,"4,567",-,-,-,-,日本,支払い,ドン・キホーテ - 大通り店,クレジット Mastercard 0000,ー回払い,本人,05012200000030
2025/01/21 11:22:34,"10,432",-,-,-,-,日本,支払い,電気料金 請求書払い,PayPay残高,-,本人,05012200000004
2025/01/21 14:10:44,-,9,-,-,-,日本,ポイント、残高の獲得,すき家 - 東口店,PayPayポイント,-,本人,05012200000031
2025/01/21 14:10:44,"1,907",-,-,-,-,日本,支払い,すき家 - 東口店,PayPayあと払い,-,本人,05012200000031
2025/01/21 18:18:59,-,14,-,-,-,日本,ポイント、残高の獲得,交通系ICチャージ,PayPayポイント,-,本人,05012200000033
2025/01/21 18:18:59,"2,980",-,-,-,-,日本,支払い,交通系ICチャージ,PayPayあと払い,-,本人,05012200000033
2025/01/22 08:13:45,-,6,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000034
2025/01/22 08:13:45,608,-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,クレジット Mastercard 0000,ー回払い,本人,05012200000034
2025/01/23 16:21:35,-,4,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000035
2025/01/23 16:21:35,473,-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,クレジット Mastercard 0000,ー回払い,本人,05012200000035
2025/01/23 22:41:06,-,12,-,-,-,日本,ポイント、残高の獲得,ガスト - 中央店,PayPayポイント,-,本人,05012200000036
2025/01/23 22:41:06,"2,520",-,-,-,-,日本,支払い,ガスト - 中央店,クレジット Mastercard 0000,ー回払い,本人,05012200000036
2025/01/25 12:14:35,-,42,-,-,-,日本,ポイント、残高の獲得,スシロー - 大通り店,PayPayポイント,-,本人,05012200000037
2025/01/25 12:14:35,"2,842",-,-,-,-,日本,支払い,スシロー - 大通り店,PayPayあと払い,-,本人,05012200000037
2025/01/26 15:30:31,-,2,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000038
2025/01/26 15:30:31,521,-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,クレジット Mastercard 0000,ー回払い,本人,05012200000038
2025/01/26 18:26:53,-,61,-,-,-,日本,ポイント、残高の獲得,Amazon.co.jp,PayPayポイント,-,本人,05012200000039
2025/01/26 18:26:53,"12,393",-,-,-,-,日本,支払い,Amazon.co.jp,クレジット Mastercard 0000,ー回払い,本人,05012200000039
2025/01/27 11:21:08,-,5,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000040
2025/01/27 11:21:08,"1,166",-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPayあと払い,-,本人,05012200000040
2025/01/28 16:54:53,-,5,-,-,-,日本,ポイント、残高の獲得,ダイソー - 中央店,PayPayポイント,-,本人,05012200000041
2025/01/28 16:54:53,360,-,-,-,-,日本,支払い,ダイソー - 中央店,クレジット Mastercard 0000,ー回払い,本人,05012200000041
2025/01/29 13:24:01,-,2,-,-,-,日本,ポイント、残高の獲得,ブックオフ - 大通り店,PayPayポイント,-,本人,05012200000044
2025/01/29 13:24:01,598,-,-,-,-,日本,支払い,ブックオフ - 大通り店,PayPay残高,-,本人,05012200000044
2025/01/29 19:51:27,-,50,-,-,-,日本,ポイント、残高の獲得,イオン - 中央店,PayPayポイント,-,本人,05012200000042
2025/01/29 19:51:27,"3,382",-,-,-,-,日本,支払い,イオン - 中央店,PayPayあと払い,-,本人,05012200000042
2025/01/29 22:34:49,-,6,-,-,-,日本,ポイント、残高の獲得,ドトールコーヒーショップ - 東口店,PayPayポイント,-,本人,05012200000043
2025/01/29 22:34:49,664,-,-,-,-,日本,支払い,ドトールコーヒーショップ - 東口店,PayPay残高,-,本人,05012200000043
2025/01/30 15:31:40,-,4,-,-,-,日本,ポイント、残高の獲得,ファミリーマート 本町店,PayPayポイント,-,本人,05012200000045
2025/01/30 15:31:40,910,-,-,-,-,日本,支払い,ファミリーマート 本町店,PayPay残高,-,本人,05012200000045
2025/01/30 17:48:51,-,13,-,-,-,日本,ポイント、残高の獲得,業務スーパー 中央二丁目店,PayPayポイント,-,本人,05012200000046
2025/01/30 17:48:51,"2,646",-,-,-,-,日本,支払い,業務スーパー 中央二丁目店,PayPay残高,-,本人,05012200000046
2025/02/03 11:55:32,-,4,-,-,-,日本,ポイント、残高の獲得,スターバックス コーヒー - 駅ビル店,PayPayポイント,-,本人,05012200000054
2025/02/03 11:55:32,880,-,-,-,-,日本,支払い,スターバックス コーヒー - 駅ビル店,クレジット Mastercard 0000,ー回払い,本人,05012200000054
2025/02/03 13:04:51,-,7,-,-,-,日本,ポイント、残高の獲得,イオン - 中央店,PayPayポイント,-,本人,05012200000053
2025/02/03 13:04:51,"1,576",-,-,-,-,日本,支払い,イオン - 中央店,クレジット Mastercard 0000,ー回払い,本人,05012200000053
2025/02/03 14:58:04,-,27,-,-,-,日本,ポイント、残高の獲得,ウエルシア薬局 中央店,PayPayポイント,-,本人,05012200000055
2025/02/03 14:58:04,"2,758",-,-,-,-,日本,支払い,ウエルシア薬局 中央店,クレジット Mastercard 0000,ー回払い,本人,05012200000055
2025/02/04 11:42:34,-,64,-,-,-,日本,ポイント、残高の獲得,イオン - 中央店,PayPayポイント,-,本人,05012200000057
2025/02/04 11:42:34,"4,316",-,-,-,-,日本,支払い,イオン - 中央店,PayPay残高,-,本人,05012200000057
2025/02/04 13:13:02,-,2,-,-,-,日本,ポイント、残高の獲得,ローソン - 駅前店,PayPayポイント,-,本人,05012200000056
2025/02/04 13:13:02,549,-,-,-,-,日本,支払い,ローソン - 駅前店,PayPay残高,-,本人,05012200000056
2025/02/04 20:04:05,-,8,-,-,-,日本,ポイント、残高の獲得,スターバックス コーヒー - 駅ビル店,PayPayポイント,-,本人,05012200000058
2025/02/04 20:04:05,871,-,-,-,-,日本,支払い,スターバックス コーヒー - 駅ビル店,PayPayあと払い,-,本人,05012200000058
2025/02/06 07:36:07,-,6,-,-,-,日本,ポイント、残高の獲得,すき家 - 東口店,PayPayポイント,-,本人,05012200000059
2025/02/06 07:36:07,"1,283",-,-,-,-,日本,支払い,すき家 - 東口店,PayPayあと払い,-,本人,05012200000059
2025/02/07 21:39:01,-,10,-,-,-,日本,ポイント、残高の獲得,イオン - 中央店,PayPayポイント,-,本人,05012200000060
2025/02/07 21:39:01,"2,160",-,-,-,-,日本,支払い,イオン - 中央店,PayPay残高,-,本人,05012200000060
2025/02/08 19:52:56,"1,590",-,-,-,-,日本,支払い,Netflix,クレジット Mastercard 0000,ー回払い,本人,05012200000048
2025/02/08 20:51:14,-,4,-,-,-,日本,ポイント、残高の獲得,スターバックス コーヒー - 駅ビル店,PayPayポイント,-,本人,05012200000061
2025/02/08 20:51:14,956,-,-,-,-,日本,支払い,スターバックス コーヒー - 駅ビル店,PayPay残高,-,本人,05012200000061
2025/02/09 10:12:54,-,9,-,-,-,日本,ポイント、残高の獲得,交通系ICチャージ,PayPayポイント,-,本人,05012200000064
2025/02/09 10:12:54,"1,996",-,-,-,-,日本,支払い,交通系ICチャージ,PayPay残高,-,本人,05012200000064
2025/02/09 12:56:39,-,10,-,-,-,日本,ポイント、残高の獲得,スターバックス コーヒー - 駅ビル店,PayPayポイント,-,本人,05012200000063
2025/02/09 12:56:39,676,-,-,-,-,日本,支払い,スターバックス コーヒー - 駅ビル店,PayPayあと払い,-,本人,05012200000063
2025/02/09 16:22:46,-,3,-,-,-,日本,ポイント、残高の獲得,ローソン - 駅前店,PayPayポイント,-,本人,05012200000062
2025/02/09 16:22:46,780,-,-,-,-,日本,支払い,ローソン - 駅前店,クレジット Mastercard 0000,ー回払い,本人,05012200000062
2025/02/11 11:57:36,-,12,-,-,-,日本,ポイント、残高の獲得,すき家 - 東口店,PayPayポイント,-,本人,05012200000067
2025/02/11 11:57:36,"1,211",-,-,-,-,日本,支払い,すき家 - 東口店,PayPay残高,-,本人,05012200000067
2025/02/11 14:05:29,-,5,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000065
2025/02/11 14:05:29,531,-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPay残高,-,本人,05012200000065
2025/02/11 14:44:05,-,"30,000",-,-,-,日本,チャージ,PayPay,PayPay残高,-,本人,05012200000052
2025/02/11 16:25:15,-,9,-,-,-,日本,ポイント、残高の獲得,スターバックス コーヒー - 駅ビル店,PayPayポイント,-,本人,05012200000066
2025/02/11 16:25:15,623,-,-,-,-,日本,支払い,スターバックス コーヒー - 駅ビル店,PayPay残高,-,本人,05012200000066
2025/02/12 18:28:41,980,-,-,-,-,日本,支払い,Spotify,クレジット Mastercard 0000,ー回払い,本人,05012200000049
2025/02/13 12:02:05,-,12,-,-,-,日本,ポイント、残高の獲得,スターバックス コーヒー - 駅ビル店,PayPayポイント,-,本人,05012200000068
2025/02/13 12:02:05,835,-,-,-,-,日本,支払い,スターバックス コーヒー - 駅ビル店,PayPayあと払い,-,本人,05012200000068
2025/02/14 13:08:24,-,14,-,-,-,日本,ポイント、残高の獲得,ダイソー - 中央店,PayPayポイント,-,本人,05012200000069
2025/02/14 13:08:24,"1,481",-,-,-,-,日本,支払い,ダイソー - 中央店,クレジット Mastercard 0000,ー回払い,本人,05012200000069
2025/02/15 07:41:53,-,5,-,-,-,日本,ポイント、残高の獲得,ローソン - 駅前店,PayPayポイント,-,本人,05012200000070
2025/02/15 07:41:53,"1,023",-,-,-,-,日本,支払い,ローソン - 駅前店,クレジット Mastercard 0000,ー回払い,本人,05012200000070
2025/02/15 10:08:02,"4,245",-,-,-,-,日本,支払い,ガス料金 請求書払い,PayPay残高,-,本人,05012200000051
2025/02/17 19:41:46,-,10,-,-,-,日本,ポイント、残高の獲得,すき家 - 東口店,PayPayポイント,-,本人,05012200000071
2025/02/17 19:41:46,"2,171",-,-,-,-,日本,支払い,すき家 - 東口店,クレジット Mastercard 0000,ー回払い,本人,05012200000071
2025/02/18 17:07:15,-,11,-,-,-,日本,ポイント、残高の獲得,すき家 - 東口店,PayPayポイント,-,本人,05012200000072
2025/02/18 17:07:15,"2,245",-,-,-,-,日本,支払い,すき家 - 東口店,PayPayあと払い,-,本人,05012200000072
2025/02/18 21:07:52,"4,378",-,-,-,-,日本,支払い,ソフトバンク 携帯料金,クレジット Mastercard 0000,ー回払い,本人,05012200000047
2025/02/19 08:08:53,-,3,-,-,-,日本,ポイント、残高の獲得,スターバックス コーヒー - 駅ビル店,PayPayポイント,-,本人,05012200000075
2025/02/19 08:08:53,677,-,-,-,-,日本,支払い,スターバックス コーヒー - 駅ビル店,クレジット Mastercard 0000,ー回払い,本人,05012200000075
2025/02/19 14:53:53,-,4,-,-,-,日本,ポイント、残高の獲得,ファミリーマート 本町店,PayPayポイント,-,本人,05012200000074
2025/02/19 14:53:53,967,-,-,-,-,日本,支払い,ファミリーマート 本町店,クレジット Mastercard 0000,ー回払い,本人,05012200000074
2025/02/19 19:29:51,-,11,-,-,-,日本,ポイント、残高の獲得,ローソン - 駅前店,PayPayポイント,-,本人,05012200000073
2025/02/19 19:29:51,752,-,-,-,-,日本,支払い,ローソン - 駅前店,PayPay残高,-,本人,05012200000073
2025/02/20 10:55:03,-,33,-,-,-,日本,ポイント、残高の獲得,イオン - 中央店,PayPayポイント,-,本人,05012200000077
2025/02/20 10:55:03,"6,726",-,-,-,-,日本,支払い,イオン - 中央店,PayPayあと払い,-,本人,05012200000077
2025/02/20 16:05:07,-,7,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000076
2025/02/20 16:05:07,706,-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPay残高,-,本人,05012200000076
2025/02/20 19:45:32,-,9,-,-,-,日本,ポイント、残高の獲得,丸亀製麺 本町,PayPayポイント,-,本人,05012200000078
2025/02/20 19:45:32,988,-,-,-,-,日本,支払い,丸亀製麺 本町,PayPay残高,-,本人,05012200000078
2025/02/21 07:05:39,"10,918",-,-,-,-,日本,支払い,電気料金 請求書払い,PayPay残高,-,本人,05012200000050
2025/02/21 21:49:41,-,11,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000079
2025/02/21 21:49:41,"1,108",-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,クレジット Mastercard 0000,ー回払い,本人,05012200000079
2025/02/22 10:22:38,-,21,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000080
2025/02/22 10:22:38,"1,448",-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPayあと払い,-,本人,05012200000080
2025/02/24 16:55:11,-,5,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000081
2025/02/24 16:55:11,"1,144",-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPayあと払い,-,本人,05012200000081
2025/02/25 07:32:03,-,21,-,-,-,日本,ポイント、残高の獲得,ニトリ - 北町店,PayPayポイント,-,本人,05012200000082
2025/02/25 07:32:03,"4,225",-,-,-,-,日本,支払い,ニトリ - 北町店,PayPay残高,-,本人,05012200000082
2025/02/26 07:55:47,-,53,-,-,-,日本,ポイント、残高の獲得,Amazon.co.jp,PayPayポイント,-,本人,05012200000084
2025/02/26 07:55:47,"10,634",-,-,-,-,日本,支払い,Amazon.co.jp,PayPay残高,-,本人,05012200000084
2025/02/26 20:20:24,-,9,-,-,-,日本,ポイント、残高の獲得,ドトールコーヒーショップ - 東口店,PayPayポイント,-,本人,05012200000083
2025/02/26 20:20:24,652,-,-,-,-,日本,支払い,ドトールコーヒーショップ - 東口店,PayPayあと払い,-,本人,05012200000083
2025/02/26 22:32:56,-,11,-,-,-,日本,ポイント、残高の獲得,ダイソー - 中央店,PayPayポイント,-,本人,05012200000085
2025/02/26 22:32:56,793,-,-,-,-,日本,支払い,ダイソー - 中央店,PayPay残高,-,本人,05012200000085
2025/02/27 10:05:35,-,5,-,-,-,日本,ポイント、残高の獲得,ローソン - 駅前店,PayPayポイント,-,本人,05012200000086
2025/02/27 10:05:35,"1,115",-,-,-,-,日本,支払い,ローソン - 駅前店,PayPay残高,-,本人,05012200000086
2025/02/27 15:59:46,-,25,-,-,-,日本,ポイント、残高の獲得,すき家 - 東口店,PayPayポイント,-,本人,05012200000087
2025/02/27 15:59:46,"1,699",-,-,-,-,日本,支払い,すき家 - 東口店,PayPayあと払い,-,本人,05012200000087
2025/02/28 10:03:52,-,3,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000088
2025/02/28 10:03:52,710,-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPay残高,-,本人,05012200000088
2025/02/28 20:44:04,-,7,-,-,-,日本,ポイント、残高の獲得,ローソン - 駅前店,PayPayポイント,-,本人,05012200000089
2025/02/28 20:44:04,490,-,-,-,-,日本,支払い,ローソン - 駅前店,PayPayあと払い,-,本人,05012200000089
2025/03/01 08:31:27,-,13,-,-,-,日本,ポイント、残高の獲得,TOHOシネマズ - 駅前,PayPayポイント,-,本人,05012200000098
2025/03/01 08:31:27,"2,726",-,-,-,-,日本,支払い,TOHOシネマズ - 駅前,PayPay残高,-,本人,05012200000098
2025/03/02 12:36:21,-,5,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000099
2025/03/02 12:36:21,361,-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPayあと払い,-,本人,05012200000099
2025/03/02 15:27:04,-,"30,000",-,-,-,日本,チャージ,PayPay,PayPay残高,-,本人,05012200000096
2025/03/04 10:31:47,-,26,-,-,-,日本,ポイント、残高の獲得,イオン - 中央店,PayPayポイント,-,本人,05012200000100
2025/03/04 10:31:47,"5,295",-,-,-,-,日本,支払い,イオン - 中央店,PayPayあと払い,-,本人,05012200000100
2025/03/06 10:44:54,-,2,-,-,-,日本,ポイント、残高の獲得,ドトールコーヒーショップ - 東口店,PayPayポイント,-,本人,05012200000103
2025/03/06 10:44:54,537,-,-,-,-,日本,支払い,ドトールコーヒーショップ - 東口店,PayPayあと払い,-,本人,05012200000103
2025/03/06 14:07:10,-,12,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000101
2025/03/06 14:07:10,"1,237",-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,クレジット Mastercard 0000,ー回払い,本人,05012200000101
2025/03/06 21:28:19,-,4,-,-,-,日本,ポイント、残高の獲得,スターバックス コーヒー - 駅ビル店,PayPayポイント,-,本人,05012200000102
2025/03/06 21:28:19,844,-,-,-,-,日本,支払い,スターバックス コーヒー - 駅ビル店,PayPayあと払い,-,本人,05012200000102
2025/03/07 19:10:59,-,3,-,-,-,日本,ポイント、残高の獲得,スターバックス コーヒー - 駅ビル店,PayPayポイント,-,本人,05012200000104
2025/03/07 19:10:59,749,-,-,-,-,日本,支払い,スターバックス コーヒー - 駅ビル店,クレジット Mastercard 0000,ー回払い,本人,05012200000104
2025/03/08 09:20:39,-,13,-,-,-,日本,ポイント、残高の獲得,ローソン - 駅前店,PayPayポイント,-,本人,05012200000105
2025/03/08 09:20:39,928,-,-,-,-,日本,支払い,ローソン - 駅前店,PayPay残高,-,本人,05012200000105
2025/03/08 15:19:21,-,8,-,-,-,日本,ポイント、残高の獲得,丸亀製麺 本町,PayPayポイント,-,本人,05012200000106
2025/03/08 15:19:21,"1,666",-,-,-,-,日本,支払い,丸亀製麺 本町,PayPay残高,-,本人,05012200000106
2025/03/08 20:01:10,"1,590",-,-,-,-,日本,支払い,Netflix,クレジット Mastercard 0000,ー回払い,本人,05012200000091
2025/03/09 07:41:41,-,12,-,-,-,日本,ポイント、残高の獲得,すき家 - 東口店,PayPayポイント,-,本人,05012200000107
2025/03/09 07:41:41,"1,287",-,-,-,-,日本,支払い,すき家 - 東口店,クレジット Mastercard 0000,ー回払い,本人,05012200000107
2025/03/09 22:13:40,"4,795",-,-,-,-,日本,支払い,水道料金 請求書払い,PayPay残高,-,本人,05012200000095
2025/03/10 20:38:55,-,5,-,-,-,日本,ポイント、残高の獲得,ローソン - 駅前店,PayPayポイント,-,本人,05012200000108
2025/03/10 20:38:55,"1,171",-,-,-,-,日本,支払い,ローソン - 駅前店,クレジット Mastercard 0000,ー回払い,本人,05012200000108
2025/03/11 13:53:44,-,2,-,-,-,日本,ポイント、残高の獲得,スターバックス コーヒー - 駅ビル店,PayPayポイント,-,本人,05012200000110
2025/03/11 13:53:44,588,-,-,-,-,日本,支払い,スターバックス コーヒー - 駅ビル店,PayPay残高,-,本人,05012200000110
2025/03/11 14:50:50,-,2,-,-,-,日本,ポイント、残高の獲得,ファミリーマート 本町店,PayPayポイント,-,本人,05012200000109
2025/03/11 14:50:50,436,-,-,-,-,日本,支払い,ファミリーマート 本町店,PayPayあと払い,-,本人,05012200000109
2025/03/12 07:48:14,980,-,-,-,-,日本,支払い,Spotify,クレジット Mastercard 0000,ー回払い,本人,05012200000092
2025/03/12 11:05:43,-,2,-,-,-,日本,ポイント、残高の獲得,ドトールコーヒーショップ - 東口店,PayPayポイント,-,本人,05012200000111
2025/03/12 11:05:43,539,-,-,-,-,日本,支払い,ドトールコーヒーショップ - 東口店,PayPay残高,-,本人,05012200000111
2025/03/13 09:12:07,-,4,-,-,-,日本,ポイント、残高の獲得,ローソン - 駅前店,PayPayポイント,-,本人,05012200000112
2025/03/13 09:12:07,944,-,-,-,-,日本,支払い,ローソン - 駅前店,クレジット Mastercard 0000,ー回払い,本人,05012200000112
2025/03/13 12:48:19,-,49,-,-,-,日本,ポイント、残高の獲得,イオン - 中央店,PayPayポイント,-,本人,05012200000113
2025/03/13 12:48:19,"4,966",-,-,-,-,日本,支払い,イオン - 中央店,PayPay残高,-,本人,05012200000113
2025/03/15 11:29:42,-,4,-,-,-,日本,ポイント、残高の獲得,業務スーパー 中央二丁目店,PayPayポイント,-,本人,05012200000114
2025/03/15 11:29:42,910,-,-,-,-,日本,支払い,業務スーパー 中央二丁目店,PayPay残高,-,本人,05012200000114
2025/03/15 11:38:36,-,9,-,-,-,日本,ポイント、残高の獲得,サイゼリヤ - 中央店,PayPayポイント,-,本人,05012200000115
